,name,salary_from,salary_to,salary_currency,area_name,published_at
2231,Специалист по обработке данных по качеству / Аналитик данных,,,,Москва,2022-12-15T16:01:53+0300
2232,Начальник отдела вычислительной инфраструктуры,,,,Москва,2022-12-15T14:34:23+0300
2233,Руководитель направления по визуальному мерчандайзингу и продвижению,,,,Москва,2022-12-15T14:24:35+0300
2234,DevOps инженер,170000.0,,RUR,Краснодар,2022-12-15T16:00:52+0300
2235,Электромеханик,57472.0,,RUR,Зеленоград,2022-12-15T15:14:28+0300
2236,Младший технический дизайнер,,,,Санкт-Петербург,2022-12-15T16:20:52+0300
2237,Middle Java Developer в Черногорию,,,,Екатеринбург,2022-12-15T13:27:29+0300
2238,Оператор станков с ПУ,105000.0,120000.0,RUR,Тула,2022-12-15T15:58:30+0300
2239,Термист,40000.0,60000.0,RUR,Курган,2022-12-15T13:48:06+0300
2240,Аналитик клиентского опыта,,,,Самара,2022-12-15T16:53:39+0300
2241,Наладчик станков с ЧПУ (ученик),50000.0,90000.0,RUR,Ростов-на-Дону,2022-12-15T15:23:22+0300
2242,Механик,40000.0,40000.0,RUR,Салават,2022-12-15T13:16:53+0300
2243,Аналитик,,,,Чебоксары,2022-12-15T16:52:26+0300
2244,Тимлид мобильной разработки,400000.0,,RUR,Москва,2022-12-15T14:57:26+0300
2245,Старший системный администратор,115000.0,,RUR,Москва,2022-12-15T16:52:55+0300
2246,Инженер-электроник II-й категории (сервисный инженер/инженер по наладке РЭА),,,,Санкт-Петербург,2022-12-15T17:18:54+0300
2247,Customer Support Representative (Georgian),,,,Тбилиси,2022-12-15T12:59:39+0300
2248,Программист 1С,50000.0,,RUR,Иркутск,2022-12-15T15:16:50+0300
2249,ИТ Менеджер по работе с внутренними клиентами,,,,Курск,2022-12-15T14:30:29+0300
2250,Механик (п. Малино),60000.0,,RUR,Малино,2022-12-15T14:49:38+0300
2251,Специалист сопровождения финансовых систем,,,,Москва,2022-12-15T15:36:37+0300
2252,Администратор 1С (с навыками разработчика),50000.0,,RUR,Казань,2022-12-15T15:43:12+0300
2253,Фрезеровщик,115000.0,,RUR,Тула,2022-12-15T13:11:42+0300
2254,Техник-курьер,400.0,2000.0,RUR,Набережные Челны,2022-12-15T17:21:24+0300
2255,"Помощник гибщика, рубщика",30000.0,,RUR,Йошкар-Ола,2022-12-15T15:17:09+0300
2256,Fullstack разработчик (.net/angular),,,,Москва,2022-12-15T12:49:07+0300
2257,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Семибратово,2022-12-15T15:26:38+0300
2258,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Приволжск,2022-12-15T15:26:38+0300
2259,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Лихославль,2022-12-15T15:26:38+0300
2260,Оператор фрезерного станка с ЧПУ Siemens (ул. Монастырка),50000.0,70000.0,RUR,Нижний Новгород,2022-12-15T17:12:47+0300
2261,Токарь-универсал,70000.0,94000.0,RUR,Набережные Челны,2022-12-15T16:15:20+0300
2262,Старший инженер поддержки QUIK,,,,Москва,2022-12-15T17:15:03+0300
2263,Автор для написания статей на английском языке в сфере моды,,,,Турция,2022-12-15T15:42:59+0300
2264,Javascript Developer (Middle),170000.0,200000.0,RUR,Рязань,2022-12-15T16:05:34+0300
2265,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Гаврилов-Ям,2022-12-15T15:26:38+0300
2266,Junior / Middle разработчик WPF (.Net),,,,Москва,2022-12-15T12:33:12+0300
2267,Мастер-раскройщик участка лазерной резки,70000.0,80000.0,RUR,Москва,2022-12-15T13:06:17+0300
2268,Junior+/pre-Middle DevOps инженер [NPM.Backbone],,,,Москва,2022-12-15T12:12:50+0300
2269,Руководитель проекта (партнерская социальная программа),,,,Екатеринбург,2022-12-15T13:57:58+0300
2270,Производитель работ ОВ и ВК / Инженер / Руководитель подразделения ОВ и ВК,120000.0,,RUR,Москва,2022-12-15T12:47:16+0300
2271,"Web-разработчик Битрикс (php, bitrix, веб разработчик)",150000.0,,RUR,Москва,2022-12-15T14:42:35+0300
2272,Разработчик React Native (Петропавловск),,400000.0,KZT,Петропавловск,2022-12-15T15:51:12+0300
2273,Специалист сопровождения,,,,Самара,2022-12-15T13:00:44+0300
2274,Ученик мастера с ежедневными выплатами,70000.0,,RUR,Самара,2022-12-15T12:31:02+0300
2275,Senior/Lead QA engineer,,,,Москва,2022-12-15T13:40:12+0300
2276,"Монтажник слаботочных систем (АПС, СОУЭ)",60000.0,,RUR,Москва,2022-12-15T14:22:42+0300
2277,Программист-разработчик,150000.0,,RUR,Казань,2022-12-15T14:13:07+0300
2278,Специалист по технической поддержке магазинов (Приморский район),58000.0,,RUR,Санкт-Петербург,2022-12-15T16:27:45+0300
2279,Системный аналитик (Middle/Senior),190000.0,,RUR,Москва,2022-12-15T17:13:06+0300
2280,Инженер-холодильщик,65000.0,,RUR,Лебедевка,2022-12-15T13:10:37+0300
2281,Руководитель интернет-магазина,100000.0,,RUR,Москва,2022-12-15T14:17:18+0300
2282,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Фурманов,2022-12-15T15:26:38+0300
2283,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Тейково,2022-12-15T15:26:38+0300
2284,"Слесарь механосборочных работ на обдирке, точке, шлифовке металлических изделий абразивными кругами",50000.0,65000.0,RUR,Колпино,2022-12-15T16:45:08+0300
2285,Техник-курьер,400.0,2000.0,RUR,Белгород,2022-12-15T17:14:50+0300
2286,Go-разработчик в рейтинги и отзывы (Middle+),,,,Москва,2022-12-15T13:14:53+0300
2287,Наладчик производственного оборудования,40000.0,,RUR,Краснодар,2022-12-15T16:02:09+0300
2288,Заместитель директора департамента послепродажного обслуживания (дорожно-строительная техника),150000.0,,RUR,Москва,2022-12-15T15:39:54+0300
2289,Главный специалист Службы поддержки кредитных процессов (отчетность),,,,Москва,2022-12-15T16:33:26+0300
2290,Системный аналитик,,180000.0,RUR,Москва,2022-12-15T14:51:50+0300
2291,Автоэлектрик-диагност,120000.0,,RUR,Москва,2022-12-15T17:10:34+0300
2292,Senior Product Designer (Warehouse Management System (WMS)),,,,Санкт-Петербург,2022-12-15T17:53:05+0300
2293,Редактор журнала Юрист,1200.0,,BYR,Минск,2022-12-15T12:10:31+0300
2294,Механик карьера,,,,Светлый,2022-12-15T12:12:39+0300
2295,Редактор-корректор,60000.0,,RUR,Москва,2022-12-15T14:59:06+0300
2296,Токарь-универсал,55000.0,57000.0,RUR,Ижевск,2022-12-15T13:54:52+0300
2297,"Монтажник слаботочных систем (СКС, ОПС, СКУД, видеонаблюдение)",70000.0,,RUR,Екатеринбург,2022-12-15T16:01:59+0300
2298,Руководитель проекта,,,,Ташкент,2022-12-15T16:41:18+0300
2299,Инженер по сопровождению,,,,Екатеринбург,2022-12-15T13:57:08+0300
2300,Консультант SAP MM/SD,,,,Санкт-Петербург,2022-12-15T15:36:52+0300
2301,Кредитный аналитик,92000.0,,RUR,Санкт-Петербург,2022-12-15T15:31:00+0300
2302,Аналитик ETL,,,,Москва,2022-12-15T15:56:30+0300
2303,Шлифовщик (Ярославская область),97000.0,105000.0,RUR,Осташков,2022-12-15T15:26:38+0300
2304,Менеджер по работе с корпоративными клиентами по продуктам экосистемы,39600.0,,RUR,Тула,2022-12-15T15:04:16+0300
2305,Java developer,70000.0,160000.0,RUR,Пермь,2022-12-15T15:58:32+0300
2306,Руководитель проектов ИБ,,,,Воронеж,2022-12-15T12:22:20+0300
2307,Data engineer,,,,Краснодар,2022-12-15T14:30:11+0300
2308,Системный аналитик (отдел развития технологий),,,,Санкт-Петербург,2022-12-15T17:00:25+0300
2309,Фрезеровщик,115000.0,,RUR,Обнинск,2022-12-15T13:46:51+0300
2310,Оператор токарного станка ЧПУ (стойка SIEMENS),76000.0,110000.0,RUR,Санкт-Петербург,2022-12-15T16:24:16+0300
2311,Аналитик 1С,,,,Москва,2022-12-15T15:42:04+0300
2312,Инженер технической поддержки,,,,Саратов,2022-12-15T16:44:44+0300
2313,Бизнес-аналитик (сервисы для работы с обращениями клиентов),,,,Москва,2022-12-15T13:43:44+0300
